codigo_postal;ciudad
01001;Vitoria/Gasteiz
01002;Vitoria/Gasteiz
01003;Vitoria/Gasteiz
01004;Vitoria/Gasteiz
01005;Vitoria/Gasteiz
01006;Vitoria/Gasteiz
01007;Vitoria/Gasteiz
01008;Vitoria/Gasteiz
01009;Vitoria/Gasteiz
01010;Vitoria/Gasteiz
01012;Vitoria/Gasteiz
01013;Vitoria/Gasteiz
01015;Vitoria/Gasteiz
01070;Vitoria/Gasteiz Correos-Telegrafos
01071;Vitoria/Gasteiz Organismos Oficiales
01080;Vitoria/Gasteiz Apartados Particulares Y Lista
01110;Campezo
01110;Kanpezu
01110;Santa Cruz De Campezo-Santikurutze Kanpezu
01117;Alda
01117;Oteo
01117;Harana
01117;Orbiso
01117;Kontrasta
01117;Valle De Arana
01117;Ullibarri-Arana
01117;Uribarri-Harana
01117;Done Bikendi Harana
01117;San Vicente De Arana
01118;Lagran
01118;Pipaon
01118;Urturi
01118;Bernedo
01118;Angostina
01118;Nafarrete
01118;Villafria
01118;Villaverde
01120;Maestu
01120;Arraia-Maeztu
01128;Atauri
01128;Azazeta
01128;Berrozi
01128;Bujanda
01128;Buxanda
01128;Kintana
01128;Antoñana
01128;Durruma Kanpezu
01128;San Roman De Campezo
01129;Aletxa
01129;Korres
01129;Leorza
01129;Musitu
01129;Areatza
01129;Arenaza
01129;Elortza
01129;Erroeta
01129;Ibisate
01129;Onraita
01129;Sabando
01129;Apinaniz
01129;Cicujano
01129;Roitegui
01129;Zekuiano
01129;Apellaniz
01129;Erroitegi
01129;Birgara Goien
01129;Virgala Mayor
01129;Virgala Menor
01129;Birgara Barren
01130;Zuia
01130;Murguia
01138;Eribe
01138;Murua
01138;Olano
01138;Acosta
01138;Gopegi
01138;Letona
01138;Apodaka
01138;Buruaga
01138;Manurga
01138;Okoizta
01138;Zaitegi
01138;Zestafe
01138;Larrinoa
01138;Ondategi
01138;Zigoitia
01138;Berrikano
01138;Etxaguen (Zigoitia)
01139;Jugo
01139;Altube
01139;Sarria
01139;Zarate
01139;Lukiano
01139;Markina
01139;Aperregi
01139;Domaikia
01139;Gilierna
01139;Bitoriano
01139;Guillerna
01139;Ametzaga (Zuia)
01160;Ibarra
01165;Olaeta
01169;Aramaio
01169;Arexola
01169;Azkoaga
01169;Barajuen
01169;Etxaguen
01169;Gantzaga
01169;Untzilla
01169;Uribarri
01170;Elosu
01170;Goiain
01170;Urrunaga
01170;Legutiano
01191;Gobeo
01191;Mendoza
01191;Martioda
01191;Astegieta
01191;Estarrona
01191;Oto Goien
01191;Trasponte
01191;Oto Barren
01191;Hueto Abajo
01191;Trespuentes
01191;Hueto Arriba
01191;Ullibarri-Viña
01191;Uribarri-Dibiña
01192;Añua
01192;Zerio
01192;Arbulo
01192;Arburu
01192;Gaceta
01192;Gazeta
01192;Arkaute
01192;Burgelu
01192;Elburgo
01192;Jungitu
01192;Lubiano
01192;Matauco
01192;Oreitia
01192;Argomaniz
01192;Elorriaga
01192;Ilarratza
01193;Acilu
01193;Azilu
01193;Gauna
01193;Ixona
01193;Arkaia
01193;Hijona
01193;Andollu
01193;Askarza
01193;Eguileta
01193;Erenchun
01193;Erentxun
01193;Trokoniz
01193;Argandoña
01193;Aberasturi
01193;Villafranca
01193;Iruraiz-Gauna
01194;Gamiz
01194;Okina
01194;Otazu
01194;Bolibar
01194;Eskibel
01194;Gaztelu
01194;Izartza
01194;Lasarte
01194;Castillo
01194;Mendiola
01194;Gardelegi
01194;Aretxabaleta
01194;Berrostegieta
01194;Monasterioguren
01194;Uribarri Nagusia
01194;Ullibarri De Los Olleros
01195;Ariniz
01195;Ariñez
01195;Biloda
01195;Gometxa
01195;Zuhatzu
01195;Zumelzu
01195;Lermanda
01195;Villodas
01195;Zumeltzu
01195;Margarita
01195;Crispijana
01195;Krispiñana
01195;Zuazo De Vitoria
01195;Subijana De Alava
01195;Subillana-Gasteiz
01196;Iurre
01196;Gereña
01196;Arangiz
01196;Foronda
01196;Legarda
01196;Antezana
01196;Lopidana
01196;Mandojana
01196;Mendiguren
01196;Mendarozketa
01196;Artaza Foronda
01196;Etxabarri-Ibiña
01200;Agurain
01200;Salvatierra
01206;Dallo
01206;Elgea
01206;Etura
01206;Gazeo
01206;Ozaeta
01206;Arrieta
01206;Guevara
01206;Heredia
01206;Audikana
01206;Maturana
01206;Mendijur
01206;Barrundia
01206;Langarika
01206;Ezkerekotxa
01206;Marieta Larrinzar
01206;Etxabarri-Urtupiña
01207;Adana
01207;Alaiza
01207;Bikuña
01207;Gereñu
01207;Mezkia
01207;Munain
01207;Okariz
01207;Opakua
01207;Vicuña
01207;Alangua
01207;Egilatz
01207;Egileor
01207;Eguilaz
01207;Guereñu
01207;Jauregi
01207;Arrizala
01207;Jauregui
01207;Txintxetru
01207;Uribarri-Jauregi
01207;Ullibarri-Jauregi
01207;Durruma Donemiliaga
01207;San Roman De San Millan
01208;Aspuru
01208;Axpuru
01208;Gordoa
01208;Hermua
01208;Larrea
01208;Albeniz
01208;Arriola
01208;Narbaxa
01208;Ametzaga
01208;Erdoñana
01208;Ordoñana
01208;Galarreta
01208;Luzuriaga
01208;Zalduondo
01208;San Millan
01208;Donemiliaga
01208;Zuazo De San Millan
01208;Zuhatzu Donemiliaga
01211;Baroja
01211;Barola
01211;Tobera
01211;Pagoeta
01211;Payueta
01211;Mijancas
01211;Santurde
01211;Escanzana
01211;Lacorzana
01211;Berantevilla
01211;Lacorzanilla
01212;Loza
01212;Ocio
01212;Berganzo
01212;Montoria
01212;Portilla
01212;Zambrana
01212;Urizaharra
01212;Peñacerrada
01212;Buradon Gatzaga
01212;Salinillas De Buradon
01212;Santa Cruz Del Fierro
01213;Igai
01213;Turiso
01213;Salcedo
01213;Saratsu
01213;Comunion
01213;Komunioi
01213;Lantaron
01213;Leziñana
01213;Melledes
01213;Molinilla
01213;Zubillaga
01213;San Miguel
01213;Ribera Baja
01213;Rivabellosa
01213;Villabezana
01213;Caicedo De Yuso
01213;Erribera Beitia
01213;Kaicedo Behekoa
01213;Leciñana Del Camino
01213;Quintanilla De La Ribera
01216;Faido
01216;Faidu
01216;Urarte
01216;Arluzea
01216;Markinez
01220;Armiñon
01220;Manzanos
01220;Rivaguda
01220;Estavillo
01220;Lacervilla
01220;Leciñana De La Oca
01220;Antezana De La Ribera
01230;Iruña Oka
01230;Iruña De Oca
01230;Langraiz Oka
01230;Nanclares De La Oca
01240;Alegria
01240;Dulantzi
01250;Araia
01250;Asparrena
01260;Egino
01260;Andoin
01260;Urabain
01260;Ilarduia
01260;Ibarguren
01300;Biasteri
01300;Laguardia
01306;Lapuebla De Labarka
01307;Mañueta
01307;Samaniego
01307;Eskuernaga
