id_comunidad;id_codigo_postal;provincia
1;04;Almería
1;11;Cádiz
1;14;Córdoba
1;18;Granada
1;21;Huelva
1;23;Jaén
1;29;Málaga
1;41;Sevilla
2;22;Huesca
2;44;Teruel
2;50;Zaragoza
3;33;Asturias
4;07;Islas Baleares
5;35;Las Palmas
5;38;S.C. Tenerife
6;39;Cantabria
7;02;Albacete
7;13;Ciudad Real
7;16;Cuenca
7;19;Guadalajara
7;45;Toledo
8;05;Ávila
8;09;Burgos
8;24;León
8;34;Palencia
8;37;Salamanca
8;40;Segovia
8;42;Soria
8;47;Valladolid
8;49;Zamora
9;08;Barcelona
9;17;Girona
9;25;Lleida
9;43;Tarragona
10;06;Badajoz
10;10;Cáceres
11;15;A Coruña
11;27;Lugo
11;32;Ourense
11;36;Pontevedra
12;28;Madrid
13;30;Murcia
14;31;Navarra
15;26;La Rioja
16;01;Álava
16;48;Bizkaia
16;20;Gipuzkoa
17;03;Alicante
17;12;Castellón
17;46;Valencia
18;51;Ceuta
19;52;Melilla
